number,survey,category_1,category_2
181,Analisis Terhadap Praktik Keuangan Berbasis Agama dan Perilaku Konsumen,Agama dan Kepercayaan,Keuangan
182,Pengaruh Teknologi dalam Transformasi Industri Kesehatan: Tinjauan tentang Penggunaan Telemedicine dan Inovasi Teknologi Lainnya dalam Pelayanan Kesehatan,Kesehatan,Bisnis dan Industri
183,Analisis Dampak Transportasi dan Logistik terhadap Emisi Gas Rumah Kaca dan Polusi Lingkungan,Transportasi dan Logistik,Lingkungan dan Konservasi
184,Efektivitas Hukum dalam Menjamin Hak Asasi Manusia di Indonesia,Hukum,Politik dan Pemerintahan
185,Persepsi Stakeholder tentang Peran Teknologi Informasi dan Komunikasi dalam Transformasi Digital Sektor Pertanian dan Perikanan,Pertanian dan Perikanan,Teknologi Informasi dan Komunikasi
186,Persepsi Masyarakat terhadap Ketersediaan dan Kualitas Infrastruktur Transportasi di Destinasi Pariwisata,Pariwisata,Transportasi dan Logistik
187,Studi Tentang Tantangan dan Inovasi dalam Pengembangan Transportasi Darurat dalam Situasi Kesehatan Darurat,Transportasi dan Logistik,Kesehatan
188,Penilaian Terhadap Keamanan dan Kesehatan dalam Transportasi Publik,Transportasi dan Logistik,Kesehatan
189,Kontribusi Sektor Keuangan dalam Mendukung Proyek Konservasi Lingkungan dan Berkelanjutan,Lingkungan dan Konservasi,Keuangan
190,Pemodelan Keuangan dalam Industri Seni dan Budaya,Seni dan Budaya,Keuangan
191,Kontribusi Seni dan Budaya dalam Mempromosikan Pertanian dan Perikanan Berkelanjutan,Seni dan Budaya,Pertanian dan Perikanan
192,Persepsi dan Preferensi Masyarakat terhadap Keamanan dan Etika dalam Penggunaan Teknologi Informasi dan Komunikasi dalam Konteks Bisnis dan Industri,Teknologi Informasi dan Komunikasi,Bisnis dan Industri
193,Kontribusi Seni dan Budaya dalam Mendorong Perlindungan Lingkungan dan Konservasi Warisan Budaya,Lingkungan dan Konservasi,Seni dan Budaya
194,Hubungan antara Keyakinan Spiritual dan Tanggung Jawab Lingkungan dalam Konteks Konservasi,Lingkungan dan Konservasi,Agama dan Kepercayaan
195,Studi Tentang Tantangan dan Inovasi dalam Logistik dan Distribusi Hasil Pertanian dan Perikanan,Transportasi dan Logistik,Pertanian dan Perikanan
196,Persepsi Masyarakat tentang Keberlanjutan dan Tanggung Jawab Lingkungan dalam Penggunaan Teknologi Informasi dan Komunikasi dalam Pariwisata,Teknologi Informasi dan Komunikasi,Pariwisata
197,Dampak Seni dan Budaya terhadap Pemahaman dan Toleransi Antaragama dan Kepercayaan,Seni dan Budaya,Agama dan Kepercayaan
198,Survei Potensi Wisata Pertanian dan Perikanan dalam Mendukung Pariwisata Berkelanjutan,Pertanian dan Perikanan,Pariwisata
199,Penilaian Dampak Teknologi dan Inovasi dalam Meningkatkan Efisiensi Transportasi Pertanian dan Perikanan,Pertanian dan Perikanan,Transportasi dan Logistik
200,Peran Lembaga Keagamaan dalam Mendukung Olahraga dan Rekreasi dalam Komunitas,Olahraga dan Rekreasi,Agama dan Kepercayaan
201,Survei Kepuasan Masyarakat terhadap Kualitas Pendidikan dan Kebijakan Pendidikan,Politik dan Pemerintahan,Pendidikan
202,Tinjauan terhadap Inovasi Keuangan dalam Mendorong Pertumbuhan dan Keberlanjutan Bisnis dan Industri,Keuangan,Bisnis dan Industri
203,Evaluasi Transparansi dan Akuntabilitas Keuangan dalam Politik dan Pemerintahan,Keuangan,Politik dan Pemerintahan
204,Partisipasi Masyarakat dalam Kegiatan Olahraga dan Rekreasi di Wilayah Pertanian dan Perikanan,Olahraga dan Rekreasi,Pertanian dan Perikanan
205,Analisis Dampak Inovasi Teknologi dalam Meningkatkan Efisiensi dan Produktivitas Bisnis,Bisnis dan Industri,Teknologi Informasi dan Komunikasi
206,Partisipasi Masyarakat dalam Kegiatan Seni dan Budaya,Seni dan Budaya,Seni dan Budaya
207,Survei Tentang Etika Bisnis Berbasis Agama,Agama dan Kepercayaan,Bisnis dan Industri
208,Dampak Teknologi Informasi dan Komunikasi terhadap Inovasi dan Kolaborasi dalam Industri Olahraga dan Kreasi,Teknologi Informasi dan Komunikasi,Olahraga dan Rekreasi
209,Persepsi Masyarakat tentang Dampak Pariwisata terhadap Kesejahteraan Sosial dan Kemanusiaan di Destinasi Wisata,Sosial dan Kemanusiaan,Pariwisata
210,Kontribusi Agama dan Kepercayaan dalam Memotivasi Aksi Konservasi Lingkungan,Lingkungan dan Konservasi,Agama dan Kepercayaan
211,Preferensi dan Harapan Pengguna terhadap Layanan dan Aplikasi Berbasis Teknologi Informasi dan Komunikasi,Teknologi Informasi dan Komunikasi,Teknologi Informasi dan Komunikasi
212,Pengaruh Program Pendidikan Kesehatan terhadap Pengetahuan dan Perilaku Hidup Sehat Siswa SMA,Pendidikan,Kesehatan
213,Penilaian Program Kesehatan dan Kebersihan di Destinasi Pariwisata,Pariwisata,Kesehatan
214,Kontrak dan Perjanjian Hukum dalam Industri Seni dan Budaya,Seni dan Budaya,Hukum
215,Persepsi Masyarakat tentang Efektivitas Kebijakan Pariwisata Pemerintah,Pariwisata,Politik dan Pemerintahan
216,Pengaruh Pengetahuan Budaya terhadap Apresiasi dan Penghargaan terhadap Keanekaragaman Budaya: Studi Kasus pada Program Pendidikan Budaya,Pendidikan,Seni dan Budaya
217,Studi Tentang Persepsi Masyarakat terhadap Kebijakan Vaksinasi dan Pengendalian Penyakit,Politik dan Pemerintahan,Kesehatan
218,Peran Pendidikan dalam Mempromosikan Kesetaraan Sosial dan Kemanusiaan,Sosial dan Kemanusiaan,Pendidikan
219,Penilaian Terhadap Peran Pemerintah dalam Mempromosikan Dialog Antaragama dan Kerukunan Beragama,Politik dan Pemerintahan,Agama dan Kepercayaan
220,Persepsi Masyarakat tentang Tantangan dan Peluang Implementasi Teknologi Informasi dan Komunikasi dalam Pendidikan,Teknologi Informasi dan Komunikasi,Pendidikan
221,Regulasi Hukum terkait Bisnis dan Industri di Bidang Olahraga dan Rekreasi,Olahraga dan Rekreasi,Hukum
222,Kontribusi Olahraga dan Rekreasi dalam Mempromosikan Kesadaran dan Keberlanjutan Lingkungan,Lingkungan dan Konservasi,Olahraga dan Rekreasi
223,Survei Kepuasan Pengunjung terhadap Layanan dan Fasilitas Industri Olahraga dan Rekreasi,Bisnis dan Industri,Olahraga dan Rekreasi
224,Studi Tentang Kontribusi Komunitas Berbasis Agama dalam Konservasi Lingkungan,Agama dan Kepercayaan,Lingkungan dan Konservasi
225,Analisis Pengaruh Acara Keagamaan dalam Pariwisata Daerah,Agama dan Kepercayaan,Pariwisata
226,Dampak Perubahan Iklim terhadap Kesehatan Masyarakat dari Sektor Pertanian dan Perikanan: Tinjauan tentang Risiko dan Adaptasi,Kesehatan,Pertanian dan Perikanan
227,Persepsi Masyarakat tentang Aksesibilitas Fasilitas Olahraga dan Rekreasi melalui Transportasi dan Logistik,Olahraga dan Rekreasi,Transportasi dan Logistik
228,Tinjauan atas Implementasi Program Pendidikan Bisnis dan Industri di Sekolah: Penilaian Efektivitas dan Dampak pada Kesiapan Karier dan Pengembangan Kewirausahaan Siswa,Pendidikan,Bisnis dan Industri
229,Persepsi dan Preferensi Masyarakat terhadap Layanan Keuangan dalam Konteks Bisnis dan Industri,Keuangan,Bisnis dan Industri
230,Kebijakan Pemerintah terhadap Pengembangan Seni dan Budaya dalam Konteks Politik,Seni dan Budaya,Politik dan Pemerintahan
231,Persepsi Masyarakat terhadap Keterlibatan Industri dalam Program Kesehatan Masyarakat,Bisnis dan Industri,Kesehatan
232,Partisipasi Masyarakat dalam Pengambilan Keputusan Kebijakan Kesehatan: Tinjauan tentang Peran dan Dampaknya pada Peningkatan Kesehatan Masyarakat,Kesehatan,Politik dan Pemerintahan
233,Persepsi Siswa tentang Manfaat Pendidikan Bisnis dalam Pendidikan: Tinjauan terhadap Pengaruh Pendidikan Bisnis pada Kemampuan Berpikir Kritis dan Pemecahan Masalah,Pendidikan,Bisnis dan Industri
234,Persepsi Masyarakat tentang Tanggung Jawab Lingkungan dalam Praktik Olahraga dan Rekreasi,Lingkungan dan Konservasi,Olahraga dan Rekreasi
235,Peran Pariwisata dalam Meningkatkan Gaya Hidup Sehat melalui Aktivitas Olahraga dan Rekreasi,Pariwisata,Olahraga dan Rekreasi
236,Penilaian Dampak Pariwisata terhadap Keanekaragaman Hayati dan Konservasi Alam,Pariwisata,Lingkungan dan Konservasi
237,Pengaruh Pendidikan Bisnis terhadap Pengetahuan dan Keterampilan Kewirausahaan Siswa: Studi Kasus pada Program Pendidikan Kewirausahaan di Sekolah,Pendidikan,Bisnis dan Industri
238,Kualitas Produk Pertanian dan Perikanan sebagai Daya Tarik Pariwisata: Tinjauan Perspektif Wisatawan,Pariwisata,Pertanian dan Perikanan
239,Tanggapan Masyarakat terhadap Pemanfaatan Seni dan Budaya dalam Meningkatkan Kualitas Pertanian dan Perikanan,Seni dan Budaya,Pertanian dan Perikanan
240,"Evaluasi Perlindungan Hukum terhadap Kekayaan Intelektual dalam Konteks Bisnis dan Industri: Persepsi dan Pengalaman Pemilik Merek, Hak Cipta, dan Paten terkait Regulasi Hukum",Hukum,Bisnis dan Industri
241,Peran Aplikasi dan Perangkat Digital dalam Memfasilitasi Aktivitas Rekreasi,Olahraga dan Rekreasi,Teknologi Informasi dan Komunikasi
242,Faktor-Faktor yang Mempengaruhi Partisipasi dalam Kegiatan Olahraga dan Rekreasi untuk Meningkatkan Kesehatan,Olahraga dan Rekreasi,Kesehatan
243,Pengelolaan Pariwisata yang Berkelanjutan untuk Mempromosikan Kesejahteraan Sosial dan Kemanusiaan di Destinasi Wisata,Sosial dan Kemanusiaan,Pariwisata
244,Tantangan dan Peluang Teknologi Informasi dan Komunikasi dalam Melestarikan Warisan Seni dan Budaya,Seni dan Budaya,Teknologi Informasi dan Komunikasi
245,Analisis Dampak Pariwisata terhadap Kesehatan Masyarakat Lokal,Pariwisata,Kesehatan
246,Pengaruh Kegiatan Olahraga dan Rekreasi Terstruktur terhadap Pembentukan Karakter Siswa,Olahraga dan Rekreasi,Pendidikan
247,Survei Peran Agama dan Kepercayaan dalam Praktik Pertanian dan Perikanan Berkelanjutan,Pertanian dan Perikanan,Agama dan Kepercayaan
248,Persepsi dan Partisipasi Masyarakat dalam Program Olahraga dan Rekreasi: Survei pada Komunitas di Sekitar Taman Kota Jakarta,Kesehatan,Olahraga dan Rekreasi
249,Pengaruh Nilai-nilai Agama dan Kepercayaan terhadap Partisipasi dalam Olahraga dan Rekreasi,Olahraga dan Rekreasi,Agama dan Kepercayaan
250,Tinjauan terhadap Efektivitas Peraturan Hukum dalam Mengatasi Kejahatan Keuangan: Penilaian Dampak dan Kendala dalam Penegakan Hukum Keuangan,Hukum,Keuangan
251,Evaluasi Peran dan Keterlibatan Pemerintah dalam Pengelolaan Sektor Pertanian dan Perikanan,Pertanian dan Perikanan,Politik dan Pemerintahan
252,Persepsi Siswa tentang Peran Agama dalam Membentuk Identitas dan Karakter Individu: Tinjauan terhadap Pengaruh Pendidikan Agama pada Sikap dan Perilaku Siswa,Pendidikan,Agama dan Kepercayaan
253,Dampak Kebijakan Lingkungan dan Konservasi Pemerintah dalam Mewujudkan Pembangunan Berkelanjutan,Lingkungan dan Konservasi,Politik dan Pemerintahan
254,Evaluasi Program Pendidikan Kesehatan di Institusi Pendidikan: Tinjauan terhadap Efektivitas dan Dampak pada Pengetahuan dan Perilaku Hidup Sehat Siswa,Pendidikan,Kesehatan
255,Penggunaan Teknologi Informasi dan Komunikasi dalam Kehidupan Sehari-hari: Persepsi dan Preferensi Masyarakat,Teknologi Informasi dan Komunikasi,Teknologi Informasi dan Komunikasi
256,Evaluasi Perlindungan Hukum terhadap Hak-hak Pelaku Usaha Pariwisata: Persepsi dan Pengalaman dalam Menghadapi Isu-isu Hukum dalam Industri Pariwisata,Hukum,Pariwisata
257,Dampak Kebijakan Pemerintah terhadap Ketersediaan Fasilitas Olahraga dan Rekreasi di Masyarakat,Olahraga dan Rekreasi,Politik dan Pemerintahan
258,Partisipasi dalam Kegiatan Seni dan Budaya dan Kualitas Hidup,Seni dan Budaya,Kesehatan
259,Kontribusi Seni dan Budaya dalam Mempertahankan Identitas dan Warisan Budaya Masyarakat,Sosial dan Kemanusiaan,Seni dan Budaya
260,Evaluasi Efisiensi dan Keberlanjutan dalam Sistem Transportasi dan Logistik untuk Mempertahankan Lingkungan,Lingkungan dan Konservasi,Transportasi dan Logistik
261,Tinjauan terhadap Peran Keuangan dalam Mendukung Program Sosial dan Kemanusiaan,Keuangan,Sosial dan Kemanusiaan
262,Penelitian Mengenai Pengaruh Keyakinan Agama dalam Pengambilan Keputusan Keuangan,Agama dan Kepercayaan,Keuangan
263,Kontribusi Teknologi Informasi dan Komunikasi dalam Mempertajam Proses Pembelajaran dan Pengembangan Kurikulum,Teknologi Informasi dan Komunikasi,Pendidikan
264,Dampak Wisata Olahraga dan Rekreasi Terhadap Pengembangan Destinasi Pariwisata,Olahraga dan Rekreasi,Pariwisata
265,Penilaian Terhadap Aksesibilitas Transportasi ke Tempat Seni Pertunjukan dan Museum,Transportasi dan Logistik,Seni dan Budaya
266,Peran Agama/Kepercayaan dalam Membentuk Kesadaran akan Kesehatan dan Kemanusiaan,Agama dan Kepercayaan,Kesehatan
267,Penerimaan dan Penggunaan Aplikasi dan Platform Teknologi Informasi dan Komunikasi untuk Tujuan Konservasi Lingkungan,Lingkungan dan Konservasi,Teknologi Informasi dan Komunikasi
268,Persepsi Masyarakat tentang Manfaat Olahraga dalam Meningkatkan Kesehatan: Survei pada Peserta Program Kegiatan Olahraga,Kesehatan,Olahraga dan Rekreasi
269,Kesadaran Masyarakat tentang Dampak Lingkungan terhadap Kesehatan: Survei pada Penduduk di Wilayah Konservasi Alam,Kesehatan,Lingkungan dan Konservasi
270,Penilaian Kepatuhan Pelaku Usaha Pertanian dan Perikanan terhadap Regulasi Hukum terkait Standar Kualitas dan Keamanan Produk,Hukum,Pertanian dan Perikanan
271,Studi Tentang Peran Pemimpin Agama dalam Promosi Pariwisata Budaya,Agama dan Kepercayaan,Pariwisata
272,Pengaruh Pengetahuan tentang Agama dan Kepercayaan terhadap Toleransi dan Penerimaan terhadap Keberagaman: Studi Kasus pada Program Pendidikan Agama dan Kebudayaan,Pendidikan,Agama dan Kepercayaan
273,Penilaian Peran Olahraga dalam Meningkatkan Kesehatan dan Kesejahteraan Masyarakat Pertanian dan Perikanan,Pertanian dan Perikanan,Olahraga dan Rekreasi
274,Penggunaan Teknologi Informasi dan Komunikasi dalam Mempromosikan Kesadaran Lingkungan dan Praktik Konservasi,Lingkungan dan Konservasi,Teknologi Informasi dan Komunikasi
275,Tingkat Kesadaran dan Perilaku Masyarakat terkait Kesehatan Mental: Survei pada Penduduk Kota Surabaya,Kesehatan,Kesehatan
276,Persepsi Masyarakat tentang Demokrasi dan Partisipasi Politik dalam Mewujudkan Kesejahteraan Sosial dan Kemanusiaan,Sosial dan Kemanusiaan,Politik dan Pemerintahan
277,Dampak Keamanan dan Privasi dalam Penggunaan Teknologi Informasi dan Komunikasi dalam Transaksi Keuangan,Teknologi Informasi dan Komunikasi,Keuangan
278,Studi Tentang Tantangan dan Peluang dalam Mengelola Perspektif Agama dalam Kebijakan Publik,Politik dan Pemerintahan,Agama dan Kepercayaan
279,Studi Tentang Peran Sektor Bisnis dalam Membangun Keterampilan Kerja di Pendidikan Tinggi,Bisnis dan Industri,Pendidikan
280,Penilaian Terhadap Keamanan dan Kenyamanan Transportasi dalam Perjalanan ke Tempat Olahraga dan Rekreasi,Transportasi dan Logistik,Olahraga dan Rekreasi
281,Penilaian Terhadap Keamanan dan Perlindungan Hukum dalam Transportasi Barang dan Penumpang,Transportasi dan Logistik,Hukum
282,Responsibilitas Sosial Perusahaan Pariwisata dalam Meningkatkan Kemanusiaan dan Kesejahteraan Masyarakat Lokal,Sosial dan Kemanusiaan,Pariwisata
283,Kualitas Fasilitas Transportasi yang Mendukung Kegiatan Olahraga dan Rekreasi,Olahraga dan Rekreasi,Transportasi dan Logistik
284,Pengaruh Olahraga dan Rekreasi terhadap Penciptaan dan Ekspresi Seni dan Budaya,Olahraga dan Rekreasi,Seni dan Budaya
285,Kontribusi Pendidikan Non-Formal dalam Mempromosikan Pemahaman dan Keterampilan Konservasi Lingkungan,Lingkungan dan Konservasi,Pendidikan
286,Evaluasi Peran Pendidikan dalam Pengembangan Pariwisata Berkelanjutan: Persepsi Guru dan Siswa tentang Konservasi Alam dan Budaya dalam Konteks Pariwisata,Pendidikan,Pariwisata
287,Persepsi Masyarakat tentang Peran Teknologi Informasi dan Komunikasi dalam Transformasi Bisnis dan Industri,Teknologi Informasi dan Komunikasi,Bisnis dan Industri
288,Peran Transportasi dan Logistik dalam Bantuan Kemanusiaan dan Penanganan Krisis Darurat,Sosial dan Kemanusiaan,Transportasi dan Logistik
289,Penerimaan dan Penggunaan Teknologi Informasi dan Komunikasi oleh Berbagai Kelompok Masyarakat,Sosial dan Kemanusiaan,Teknologi Informasi dan Komunikasi
290,Preferensi dan Minat Masyarakat dalam Mengonsumsi Seni dan Budaya,Seni dan Budaya,Seni dan Budaya
291,Persepsi dan Partisipasi Masyarakat dalam Pengelolaan Keuangan untuk Dukungan Seni dan Budaya,Keuangan,Seni dan Budaya
292,Evaluasi Efektivitas Promosi dan Pemasaran Pariwisata melalui Media Digital,Pariwisata,Teknologi Informasi dan Komunikasi
293,Tinjauan terhadap Preferensi dan Kebiasaan Pengeluaran Keuangan dalam Aktivitas Seni dan Budaya,Keuangan,Seni dan Budaya
294,Tinjauan terhadap Tanggung Jawab Hukum Perusahaan dalam Lingkungan Bisnis dan Industri: Penilaian Efektivitas dan Tantangan dalam Menegakkan Hukum terkait Etika Bisnis dan Keberlanjutan Lingkungan,Hukum,Bisnis dan Industri
295,Evaluasi Pengelolaan Keuangan dalam Sektor Pertanian dan Perikanan,Keuangan,Pertanian dan Perikanan
296,Studi Tentang Perspektif Keagamaan dalam Seni Pertunjukan,Agama dan Kepercayaan,Seni dan Budaya
297,Kontribusi Teknologi Informasi dan Komunikasi dalam Meningkatkan Efisiensi dan Inovasi dalam Bisnis dan Industri,Teknologi Informasi dan Komunikasi,Bisnis dan Industri
298,Kontribusi Transportasi dan Logistik dalam Membangun Hubungan Sosial dan Kemanusiaan di Komunitas,Sosial dan Kemanusiaan,Transportasi dan Logistik
299,Dampak Transportasi dan Logistik terhadap Kesehatan Masyarakat: Survei tentang Penggunaan Moda Transportasi dan Kondisi Kesehatan,Kesehatan,Transportasi dan Logistik
300,Persepsi Pengguna Transportasi Umum tentang Fasilitas dan Kebijakan Kesehatan: Studi Kasus pada Penumpang Angkutan Umum,Kesehatan,Transportasi dan Logistik
301,Persepsi Masyarakat tentang Tanggung Jawab Lingkungan dalam Praktik Bisnis dan Industri,Lingkungan dan Konservasi,Bisnis dan Industri
302,Evaluasi Perlindungan Hukum terhadap Hak-hak Budaya dan Identitas Etnis: Persepsi dan Pengalaman Komunitas Budaya dalam Menghadapi Tantangan Hukum dalam Memelihara Tradisi dan Warisan Budaya,Hukum,Seni dan Budaya
303,Perlindungan Hukum terhadap Hak Privasi Pasien dalam Penggunaan Data Kesehatan: Studi Kasus di Rumah Sakit Hermina Depok,Kesehatan,Hukum
304,Persepsi Masyarakat tentang Keberlanjutan dalam Transportasi dan Logistik untuk Mendukung Kesejahteraan Sosial,Sosial dan Kemanusiaan,Transportasi dan Logistik
305,Inovasi Keuangan dalam Mendorong Kreativitas dalam Seni dan Budaya,Seni dan Budaya,Keuangan
306,Tinjauan Mengenai Konsep Pengelolaan Keuangan dalam Ajaran Agama dan Kepercayaan,Keuangan,Agama dan Kepercayaan
307,Persepsi dan Preferensi Wisatawan terhadap Pengalaman Seni dan Budaya dalam Perjalanan Transportasi dan Logistik,Seni dan Budaya,Transportasi dan Logistik
308,Analisis Dampak Kepercayaan Agama dalam Perkembangan Seni Rupa,Agama dan Kepercayaan,Seni dan Budaya
309,Persepsi Masyarakat terhadap Dampak Biaya Transportasi dan Logistik terhadap Pengeluaran Rumah Tangga,Transportasi dan Logistik,Keuangan
310,Dukungan dan Kontribusi Masyarakat dalam Program Konservasi dan Pengelolaan Sumber Daya Alam,Sosial dan Kemanusiaan,Lingkungan dan Konservasi
311,Penilaian Terhadap Peran Pemerintah dalam Peningkatan Partisipasi Masyarakat dalam Kegiatan Olahraga,Politik dan Pemerintahan,Olahraga dan Rekreasi
312,Peran Sponsorship dalam Mendukung Industri Seni dan Budaya,Seni dan Budaya,Keuangan
313,Analisis Peran Infrastruktur Logistik dalam Peningkatan Daya Saing Sektor Pertanian dan Perikanan,Pertanian dan Perikanan,Transportasi dan Logistik
314,Penilaian Terhadap Keamanan dan Keberlanjutan Transportasi dalam Pembangunan Infrastruktur Publik,Transportasi dan Logistik,Politik dan Pemerintahan
315,Pengetahuan dan Kesadaran Masyarakat tentang Hak Asasi Manusia,Sosial dan Kemanusiaan,Sosial dan Kemanusiaan
316,Persepsi Masyarakat terhadap Transparansi dan Akuntabilitas Pemerintah dalam Pengembangan Transportasi,Transportasi dan Logistik,Politik dan Pemerintahan
317,Evaluasi Dampak Sosial dan Lingkungan Bisnis dan Industri dalam Konteks Konservasi Alam,Lingkungan dan Konservasi,Bisnis dan Industri
318,Dukungan dan Partisipasi Masyarakat dalam Kegiatan Sosial dan Kemanusiaan di Destinasi Pariwisata,Sosial dan Kemanusiaan,Pariwisata
319,Penilaian Efektivitas Program Bantuan Keuangan dalam Meningkatkan Kemandirian Sosial dan Kesejahteraan Masyarakat,Keuangan,Sosial dan Kemanusiaan
320,Peran Industri Bisnis dalam Pengembangan Destinasi Pariwisata,Pariwisata,Bisnis dan Industri
321,Persepsi dan Sikap Masyarakat terhadap Perlindungan Hukum terhadap Hak dan Kewajiban Konsumen dalam Industri Transportasi dan Logistik,Hukum,Transportasi dan Logistik
322,Hubungan antara Pemerintahan Daerah dan Industri Pariwisata dalam Meningkatkan Daya Tarik Destinasi,Pariwisata,Politik dan Pemerintahan
323,Faktor-faktor yang Mempengaruhi Gaya Hidup Sehat: Penelitian pada Mahasiswa Universitas Sebelas Maret,Kesehatan,Kesehatan
324,Hubungan antara Lingkungan Pendidikan dan Gaya Hidup Sehat pada Siswa Sekolah Menengah: Studi Kasus pada Sekolah di Kota Kediri,Kesehatan,Pendidikan
325,Analisis Dampak Kebijakan Keuangan terhadap Pembangunan Ekonomi dalam Konteks Politik dan Pemerintahan,Keuangan,Politik dan Pemerintahan
326,Persepsi Masyarakat terhadap Peran Olahraga dalam Pemersatu Bangsa dan Meningkatkan Kualitas Hidup,Politik dan Pemerintahan,Olahraga dan Rekreasi
327,Evaluasi Program Pendidikan di Destinasi Pariwisata untuk Meningkatkan Kesadaran Wisatawan akan Keberlanjutan Lingkungan,Pariwisata,Pendidikan
328,Toleransi dan Dialog Antaragama dalam Masyarakat Multikultural,Sosial dan Kemanusiaan,Agama dan Kepercayaan
329,Tinjauan terhadap Keharmonisan Hukum dan Agama dalam Konteks Masyarakat Multikultural: Persepsi dan Pengalaman Masyarakat terkait Hubungan antara Hukum dan Nilai-Nilai Keagamaan,Hukum,Agama dan Kepercayaan
330,"Persepsi Masyarakat tentang Keamanan, Privasi, dan Etika dalam Penggunaan Teknologi Informasi dan Komunikasi dalam Konteks Kesehatan",Teknologi Informasi dan Komunikasi,Kesehatan
331,Persepsi dan Keterlibatan Masyarakat dalam Penanggulangan Masalah Kesehatan di Komunitas Rentan: Survei pada Kelompok Masyarakat Marginal,Kesehatan,Sosial dan Kemanusiaan
332,Evaluasi Efektivitas Kebijakan Lingkungan dalam Mendorong Praktik Pertanian dan Perikanan Berkelanjutan,Pertanian dan Perikanan,Lingkungan dan Konservasi
333,Evaluasi Kontribusi Pariwisata terhadap Pemberdayaan Komunitas Lokal,Pariwisata,Sosial dan Kemanusiaan
334,Dampak Program Pendidikan Lingkungan terhadap Perilaku Konservasi dan Pengelolaan Lingkungan Masyarakat,Lingkungan dan Konservasi,Pendidikan
335,Partisipasi Masyarakat dalam Kegiatan Seni dan Budaya untuk Meningkatkan Kesejahteraan Sosial,Seni dan Budaya,Sosial dan Kemanusiaan
336,Persepsi Masyarakat terhadap Peran Transportasi dalam Peningkatan Kualitas Pendidikan,Transportasi dan Logistik,Pendidikan
337,Partisipasi Masyarakat dalam Kegiatan Olahraga dan Rekreasi sebagai Bentuk Partisipasi Politik,Olahraga dan Rekreasi,Politik dan Pemerintahan
338,Tanggapan Masyarakat terhadap Kebijakan dan Program Pemerintah dalam Meningkatkan Partisipasi dalam Olahraga dan Rekreasi,Olahraga dan Rekreasi,Politik dan Pemerintahan
339,Dampak Teknologi Informasi dan Komunikasi terhadap Efisiensi Pengelolaan Sumber Daya Alam dan Konservasi Lingkungan,Lingkungan dan Konservasi,Teknologi Informasi dan Komunikasi
340,Persepsi Masyarakat terhadap Kualitas Pelayanan dan Aksesibilitas Transportasi Publik,Politik dan Pemerintahan,Transportasi dan Logistik
341,Dampak Program Pendidikan Terhadap Peningkatan Kesadaran Sosial dan Kemanusiaan,Sosial dan Kemanusiaan,Pendidikan
342,Persepsi Masyarakat terhadap Perlindungan Hukum terhadap Konsumen dalam Transaksi Keuangan,Keuangan,Hukum
343,Tinjauan terhadap Preferensi Konsumen dan Perilaku Pembelian terkait dengan Olahraga dan Rekreasi,Keuangan,Olahraga dan Rekreasi
344,Pengaruh Kualitas Lingkungan Pariwisata terhadap Kesehatan Wisatawan: Studi Kasus pada Destinasi Pantai di Pelabuhan Ratu,Kesehatan,Pariwisata
345,Tinjauan tentang Perlindungan Hukum terhadap Hak-hak Wisatawan dalam Destinasi Pariwisata,Pariwisata,Hukum
346,Preferensi Wisatawan terkait Destinasi Pariwisata Berbasis Agama atau Kepercayaan,Pariwisata,Agama dan Kepercayaan
347,Pengaruh Kegiatan Seni dan Budaya terhadap Pengelolaan Stres dan Kesehatan Psikologis: Studi Kasus pada Komunitas Seniman,Kesehatan,Seni dan Budaya
348,Penilaian Peran Keuangan dalam Inovasi dan Modernisasi di Sektor Transportasi dan Logistik,Keuangan,Transportasi dan Logistik
349,Pengaruh Pendidikan Kemanusiaan terhadap Sikap Empati dan Kepekaan Sosial Siswa: Persepsi Guru dan Siswa tentang Efektivitas Program Pendidikan Kemanusiaan,Pendidikan,Sosial dan Kemanusiaan
350,"Partisipasi Masyarakat dalam Kegiatan Seni, Budaya, Olahraga, dan Rekreasi",Seni dan Budaya,Olahraga dan Rekreasi
351,Dampak Lingkungan Kerja terhadap Kesehatan Karyawan dalam Industri Kesehatan: Studi Kasus pada Rumah Sakit di Wilayah Palembang,Kesehatan,Bisnis dan Industri
352,Inovasi dan Tren Bisnis dalam Industri Olahraga dan Rekreasi,Olahraga dan Rekreasi,Bisnis dan Industri
353,"Persepsi Masyarakat terhadap Pengaturan Hukum dalam Industri Hiburan dan Seni: Studi Kasus tentang Regulasi Hukum dalam Mengatur Isu-isu Kontrak, Royalti, dan Perlindungan Pekerja Seni",Hukum,Seni dan Budaya
354,Tinjauan atas Implementasi Program Pendidikan Olahraga dan Rekreasi di Sekolah: Penilaian Efektivitas dan Dampak pada Kesehatan dan Keterampilan Motorik Siswa,Pendidikan,Olahraga dan Rekreasi
355,Kontribusi Bisnis dan Industri dalam Mendorong Praktik Berkelanjutan untuk Konservasi Lingkungan,Lingkungan dan Konservasi,Bisnis dan Industri
356,Faktor Keuangan yang Mempengaruhi Partisipasi dalam Kegiatan Olahraga dan Rekreasi,Olahraga dan Rekreasi,Keuangan
357,Persepsi Masyarakat tentang Tanggapan Industri Pariwisata terhadap Isu Lingkungan dan Konservasi,Lingkungan dan Konservasi,Pariwisata
